invc_code,dispatch_revenue,artb_sales_amt,artb_tax_amt,artb_total,difference
1483440,501.00,599.25,26.46,625.71,-124.71
1483441,1759.50,1822.00,87.63,1909.63,-150.13
1483442,4495.00,4652.00,221.34,4873.34,-378.34
1483443,542.75,606.00,28.67,634.67,-91.92
1483444,239.25,337.50,12.56,350.06,-110.81
1483445,2164.50,2389.00,143.34,2532.34,-367.84
1483446,924.00,1236.75,61.11,1297.86,-373.86
1483447,1762.25,1808.50,90.92,1899.42,-137.17
1483448,9774.50,10389.00,518.67,10907.67,-1133.17
1483449,900.38,929.63,45.83,975.46,-75.08
1483450,5776.00,6189.00,300.96,6489.96,-713.96
1483451,324.00,400.25,16.32,416.57,-92.57
1483452,2211.00,2392.50,112.86,2505.36,-294.36
1483453,6479.00,7918.00,404.70,8322.70,-1843.70
1483454,5945.00,6150.25,292.74,6442.99,-497.99
1483455,952.00,1051.25,49.98,1101.23,-149.23
1483456,1392.00,1432.25,71.04,1503.29,-111.29
1483457,3861.00,4479.75,218.70,4698.45,-837.45
1483458,1017.50,1080.75,54.45,1135.20,-117.70
1483459,236.25,382.00,0.00,382.00,-145.75
1483460,987.00,1079.25,53.46,1132.71,-145.71
1483461,1398.25,1474.50,72.68,1547.18,-148.93
1483462,535.50,615.75,27.45,643.20,-107.70
1483463,1103.13,1136.38,56.44,1192.82,-89.69
1483464,5964.50,6148.50,368.91,6517.41,-552.91
1483465,805.50,846.75,41.31,888.06,-82.56
1483466,2698.00,3085.00,185.10,3270.10,-572.10
1483467,3050.50,3503.25,210.20,3713.45,-662.95
1483468,9891.50,11125.50,667.53,11793.03,-1901.53
1483469,137.50,275.75,16.55,292.30,-154.80
1483470,1435.50,1479.75,88.79,1568.54,-133.04
1483471,540.00,638.25,28.80,667.05,-127.05
1483472,1800.00,1946.50,96.00,2042.50,-242.50
1483473,1080.00,1148.25,57.60,1205.85,-125.85
1483474,5130.00,5468.25,328.10,5796.35,-666.35
1483475,343.00,461.25,18.18,479.43,-136.43
1483476,178.50,198.75,0.00,198.75,-20.25
1483477,2025.00,2091.50,125.49,2216.99,-191.99
1483478,6878.00,7367.00,371.64,7738.64,-860.64
1483479,573.50,677.75,32.97,710.72,-137.22
1483480,650.00,722.25,35.64,757.89,-107.89
1483481,300.00,300.00,18.00,318.00,-18.00
1483482,660.00,660.00,39.60,699.60,-39.60
1483483,412.50,412.50,24.75,437.25,-24.75
1483485,751.50,804.75,48.29,853.04,-101.54
1483486,231.25,373.25,26.13,399.38,-168.13
1483487,2682.50,2757.00,165.42,2922.42,-239.92
1483488,1041.00,1151.25,69.08,1220.33,-179.33
1483489,3008.00,3088.50,185.32,3273.82,-265.82
1483490,1662.50,1775.25,106.52,1881.77,-219.27
1483491,756.00,813.75,48.83,862.58,-106.58
1483492,1529.50,1575.75,94.55,1670.30,-140.80
1483493,9837.50,10183.50,611.01,10794.51,-957.01
1483494,5463.00,5874.25,352.46,6226.71,-763.71
1483495,1980.75,2074.50,124.47,2198.97,-218.22
1483496,2645.50,2736.00,164.16,2900.16,-254.66
1483497,1567.50,1680.25,100.82,1781.07,-213.57
1483498,3220.50,3313.00,198.78,3511.78,-291.28
1483499,12798.00,16472.25,988.34,17460.59,-4662.59
1483500,4485.00,4613.75,276.83,4890.58,-405.58
1483501,8105.25,8558.75,513.53,9072.28,-967.03
1483502,2800.00,3114.00,186.84,3300.84,-500.84
1483503,574.00,665.75,39.95,705.70,-131.70
1483504,738.00,810.75,56.75,867.50,-129.50
1483505,4083.51,4220.26,253.22,4473.48,-389.97
1483506,1831.25,1897.75,132.84,2030.59,-199.34
1483507,8008.50,8286.00,497.16,8783.16,-774.66
1483508,1545.50,1606.00,96.36,1702.36,-156.86
1483509,1787.50,2004.00,120.24,2124.24,-336.74
1483510,2056.25,2330.25,163.12,2493.37,-437.12
1483511,3215.63,3307.13,231.50,3538.63,-323.00
1483512,1629.25,1629.25,0.00,1629.25,0.00
1483513,7150.00,7399.50,443.97,7843.47,-693.47
1483514,7263.75,7508.25,450.50,7958.75,-695.00
1483515,259.50,348.75,20.93,369.68,-110.18
1483516,1990.00,2046.50,122.79,2169.29,-179.29
1483517,370.00,490.25,29.42,519.67,-149.67
1483518,1880.00,1936.50,116.20,2052.70,-172.70
1483519,7227.51,8698.01,521.88,9219.89,-1992.38
1483520,5320.00,5505.00,330.30,5835.30,-515.30
1483521,1358.50,1404.75,84.29,1489.04,-130.54
1483522,825.00,888.25,53.30,941.55,-116.55
1483523,3097.00,3189.50,191.37,3380.87,-283.87
1483524,547.50,627.75,43.94,671.69,-124.19
1483525,4887.25,5222.75,313.38,5536.13,-648.88
1483526,1496.00,1536.25,92.18,1628.43,-132.43
1483527,3882.26,4013.01,240.78,4253.79,-371.53
1483528,1867.88,1935.38,116.12,2051.50,-183.62
1483529,1861.63,1931.13,115.87,2047.00,-185.37
1483530,489.00,539.25,37.75,577.00,-88.00
1483531,936.00,1088.25,65.30,1153.55,-217.55
1483532,3628.63,3744.38,224.66,3969.04,-340.41
1483533,6061.00,6246.00,374.76,6620.76,-559.76
1483534,855.00,883.25,61.83,945.08,-90.08
1483535,12216.50,12621.75,757.31,13379.06,-1162.56
1483536,4004.00,4140.75,248.45,4389.20,-385.20
1483537,6080.00,6281.25,376.88,6658.13,-578.13
1483538,3160.00,3964.75,237.89,4202.64,-1042.64
1483539,3150.00,3454.50,241.82,3696.32,-546.32
1483540,11088.00,11470.25,688.22,12158.47,-1070.47
1483541,4004.00,4132.75,289.29,4422.04,-418.04
1483542,9911.25,9911.25,0.00,9911.25,0.00
1483543,360.50,360.50,0.00,360.50,0.00
1483544,1692.00,1692.00,0.00,1692.00,0.00
1483549,514.50,612.75,27.27,640.02,-125.52
1483550,543.00,623.25,27.90,651.15,-108.15
1483551,535.50,615.75,27.45,643.20,-107.70
1483552,1539.00,1651.75,99.11,1750.86,-211.86
1483553,848.25,907.50,44.96,952.46,-104.21
1483554,2647.50,2724.00,135.45,2859.45,-211.95
1483555,1232.00,1392.25,68.64,1460.89,-228.89
1483556,1624.50,1670.75,82.65,1753.40,-128.90
1483557,2247.75,2493.75,124.34,2618.09,-370.34
1483558,1034.25,1105.50,66.33,1171.83,-137.58
1483559,783.00,824.25,39.96,864.21,-81.21
1483560,680.00,704.25,34.56,738.81,-58.81
1483561,1638.00,1736.25,87.48,1823.73,-185.73
1483562,686.00,756.25,35.88,792.13,-106.13
1483563,1256.00,1296.25,62.88,1359.13,-103.13
1483564,17649.00,22196.25,1125.54,23321.79,-5672.79
1483565,716.00,798.25,38.40,836.65,-120.65
1483566,657.00,737.25,35.64,772.89,-115.89
1483567,1581.75,1742.00,104.52,1846.52,-264.77
1483568,282.00,420.75,25.25,446.00,-164.00
1483569,1049.75,1149.00,68.94,1217.94,-168.19
1483570,1151.50,1187.75,58.17,1245.92,-94.42
1483571,492.00,593.25,35.60,628.85,-136.85
1483572,446.25,569.50,24.68,594.18,-147.93
1483573,1896.00,1960.50,117.63,2078.13,-182.13
1483574,1643.50,1803.75,90.63,1894.38,-250.88
1483575,3594.50,3710.25,180.18,3890.43,-295.93
1483576,4061.25,4086.00,245.16,4331.16,-269.91
1483577,1358.50,1518.75,91.13,1609.88,-251.38
1483578,2002.00,2242.50,134.55,2377.05,-375.05
1483579,2131.25,2395.75,143.75,2539.50,-408.25
1483580,1440.00,1596.50,76.80,1673.30,-233.30
1483581,3078.00,3303.50,198.21,3501.71,-423.71
1483582,6697.00,7174.00,361.86,7535.86,-838.86
1483583,13608.00,14006.25,690.12,14696.37,-1088.37
1483584,1521.63,1677.88,83.53,1761.41,-239.78
1483585,55.00,55.00,3.30,58.30,-3.30
1483586,110.00,110.00,6.60,116.60,-6.60
1483587,3944.50,4061.25,200.80,4262.05,-317.55
1483588,1836.00,1900.50,91.44,1991.94,-155.94
1483589,4104.00,4224.75,208.80,4433.55,-329.55
1483590,540.00,626.25,29.88,656.13,-116.13
1483591,5282.00,6037.00,291.84,6328.84,-1046.84
1483592,1170.00,1243.25,62.40,1305.65,-135.65
1483593,422.50,530.75,22.35,553.10,-130.60
1483594,720.00,774.25,36.96,811.21,-91.21
1483595,1087.50,1215.75,58.95,1274.70,-187.20
1483596,275.00,367.25,14.34,381.59,-106.59
1483597,1600.00,1648.25,80.40,1728.65,-128.65
1483598,3437.50,3862.25,185.25,4047.50,-610.00
1483599,2997.00,3301.50,198.09,3499.59,-502.59
1483600,1505.75,1647.00,98.82,1745.82,-240.07
1483601,2556.00,2698.50,161.91,2860.41,-304.41
1483602,1151.50,1222.75,60.27,1283.02,-131.52
1483603,4613.38,4773.38,286.40,5059.78,-446.40
1483604,568.00,652.25,27.84,680.09,-112.09
1483605,2370.00,2446.50,146.79,2593.29,-223.29
1483606,2962.50,3054.00,148.50,3202.50,-240.00
1483607,1072.50,1200.75,72.05,1272.80,-200.30
1483608,10264.13,11542.13,692.53,12234.66,-1970.53
1483609,429.00,545.25,32.72,577.97,-148.97
1483610,1287.00,1439.25,86.36,1525.61,-238.61
1483611,858.00,962.25,57.74,1019.99,-161.99
1483612,1800.00,1946.50,96.00,2042.50,-242.50
1483613,1440.00,1596.50,76.80,1673.30,-233.30
1483614,680.00,734.25,34.56,768.81,-88.81
1483615,18876.00,19519.50,926.64,20446.14,-1570.14
1483616,95.00,95.00,5.70,100.70,-5.70
1483617,780.00,780.00,46.80,826.80,-46.80
1483618,118.00,118.00,7.08,125.08,-7.08
1483619,55.00,55.00,3.30,58.30,-3.30
1483620,200.00,200.00,12.00,212.00,-12.00
1483621,4532.50,4826.75,289.62,5116.37,-583.87
1483622,1466.25,1504.50,90.27,1594.77,-128.52
1483623,5360.50,5884.25,353.06,6237.31,-876.81
1483624,2360.00,2504.50,150.27,2654.77,-294.77
1483625,5736.50,6393.75,383.63,6777.38,-1040.88
1483626,495.00,566.25,33.98,600.23,-105.23
1483627,21195.00,21858.75,1530.11,23388.86,-2193.86
1483628,3301.00,3389.50,237.27,3626.77,-325.77
1483629,3506.75,3759.75,225.59,3985.34,-478.59
1483630,1280.00,1440.25,86.42,1526.67,-246.67
1483631,984.00,1058.25,63.50,1121.75,-137.75
1483632,492.00,593.25,35.60,628.85,-136.85
1483633,6673.77,6913.27,414.80,7328.07,-654.30
1483634,9835.00,10181.00,610.86,10791.86,-956.86
1483635,4522.51,4679.51,280.77,4960.28,-437.77
1483636,1334.75,1381.00,82.86,1463.86,-129.11
1483637,326.00,402.25,24.14,426.39,-100.39
1483638,7607.25,8121.00,568.47,8689.47,-1082.22
1483639,1215.50,1359.75,81.59,1441.34,-225.84
1483640,3120.00,3216.50,225.16,3441.66,-321.66
1483641,8143.50,8871.00,532.28,9403.28,-1259.78
1483642,2138.75,2213.25,132.80,2346.05,-207.30
1483643,865.00,893.25,53.60,946.85,-81.85
1483644,50844.50,54980.50,0.00,54980.50,-4136.00
1483645,5212.50,5395.50,0.00,5395.50,-183.00
1483646,4993.50,5505.50,330.33,5835.83,-842.33
1483647,20520.00,21213.75,1484.96,22698.71,-2178.71
1483648,1691.25,1820.50,109.23,1929.73,-238.48
1483649,612.00,690.25,41.42,731.67,-119.67
1483650,1095.00,1199.25,83.95,1283.20,-188.20
1483651,253.50,383.25,23.00,406.25,-152.75
1483652,1360.00,1461.75,87.71,1549.46,-189.46
1483653,1020.00,1052.25,63.14,1115.39,-95.39
1483654,4674.00,5012.25,300.75,5313.00,-639.00
1483655,7657.27,7924.77,475.49,8400.26,-742.99
1483656,5436.52,5601.52,336.09,5937.61,-501.09
1483657,7084.88,7329.38,439.76,7769.14,-684.26
1483658,2272.38,2500.88,150.05,2650.93,-378.55
1483659,6412.52,6453.77,387.23,6841.00,-428.48
1483660,858.00,962.25,57.74,1019.99,-161.99
1483661,9365.64,10708.89,0.00,10708.89,-1343.25
1483662,1487.50,1623.25,97.40,1720.65,-233.15
1483663,700.00,754.25,45.26,799.51,-99.51
1483664,7296.00,7537.50,452.25,7989.75,-693.75
1483665,4115.75,4252.50,255.15,4507.65,-391.90
1483666,3364.00,3480.75,208.85,3689.60,-325.60
1483673,640.50,728.75,34.23,762.98,-122.48
1483674,1305.50,1489.00,70.35,1559.35,-253.85
1483675,1377.00,1421.25,68.58,1489.83,-112.83
1483676,996.88,1030.13,50.06,1080.19,-83.31
1483677,4118.25,4228.50,200.93,4429.43,-311.18
1483678,4681.64,4781.64,224.62,5006.26,-324.62
1483679,1062.50,1062.50,0.00,1062.50,0.00
1483680,1914.00,1988.50,92.22,2080.72,-166.72
1483681,564.00,662.25,30.24,692.49,-128.49
1483682,1396.50,1499.75,72.39,1572.14,-175.64
1483683,427.50,553.25,23.70,576.95,-149.45
1483684,10537.52,10603.52,497.25,11100.77,-563.25
1483685,450.00,566.25,24.48,590.73,-140.73
1483686,180.00,312.25,9.24,321.49,-141.49
1483687,1278.00,1403.25,84.20,1487.45,-209.45
1483688,353.00,459.25,18.06,477.31,-124.31
1483689,6345.00,7691.25,461.48,8152.73,-1807.73
1483690,9487.52,10657.52,639.45,11296.97,-1809.45
1483691,540.00,647.25,29.34,676.59,-136.59
1483692,368.00,368.00,0.00,368.00,0.00
1483693,814.50,921.75,44.01,965.76,-151.26
1483694,39.00,39.00,2.34,41.34,-2.34
1483695,5803.25,6011.50,0.00,6011.50,-208.25
1483696,3976.00,4532.75,271.97,4804.72,-828.72
1483697,1800.00,1941.50,116.49,2057.99,-257.99
1483698,9540.00,9862.75,690.39,10553.14,-1013.14
1483699,1779.76,1901.26,114.08,2015.34,-235.58
1483700,10432.53,11530.28,691.82,12222.10,-1789.57
1483701,4641.00,5081.75,304.91,5386.66,-745.66
1483702,2681.25,2997.75,179.87,3177.62,-496.37
1483703,702.50,790.75,47.45,838.20,-135.70
1483704,882.00,950.25,66.52,1016.77,-134.77
1483705,4560.00,4593.00,321.51,4914.51,-354.51
1483706,2981.25,3072.75,184.37,3257.12,-275.87
1483707,246.00,383.25,0.00,383.25,-137.25
1483708,5247.25,5431.25,0.00,5431.25,-184.00
1483709,2040.00,2104.50,147.32,2251.82,-211.82
1483710,2802.50,3142.00,188.52,3330.52,-528.02
1483711,1562.00,1787.50,107.25,1894.75,-332.75
1483712,577.50,639.25,38.36,677.61,-100.11
1483713,4407.00,4847.75,290.87,5138.62,-731.62
1483714,5056.00,6212.00,372.72,6584.72,-1528.72
1483715,1066.00,1145.75,80.20,1225.95,-159.95
1483716,4215.01,4368.01,262.08,4630.09,-415.08
1483717,1369.88,1417.13,85.03,1502.16,-132.28
1483718,7172.50,7736.25,464.18,8200.43,-1027.93
1483719,2021.50,2090.00,125.40,2215.40,-193.90
1483720,1477.25,1523.50,91.41,1614.91,-137.66
1483721,1521.00,1601.25,79.38,1680.63,-159.63
1483722,332.00,450.25,17.52,467.77,-135.77
1483723,1207.13,1287.88,63.73,1351.61,-144.48
1483724,88.50,88.50,0.00,88.50,0.00
1483725,720.00,790.25,47.42,837.67,-117.67
1483726,900.00,928.25,46.20,974.45,-74.45
1483727,2888.00,2968.50,148.32,3116.82,-228.82
1483728,284.00,390.25,13.92,404.17,-120.17
1483729,450.00,530.25,22.32,552.57,-102.57
1483730,1911.00,2032.50,102.06,2134.56,-223.56
1483731,185.00,321.25,9.78,331.03,-146.03
1483732,19545.76,22434.76,1143.09,23577.85,-4032.09
1483733,189.00,337.25,0.00,337.25,-148.25
1483734,522.00,602.25,0.00,602.25,-80.25
1483735,795.00,853.25,41.70,894.95,-99.95
1483736,6063.00,6921.25,335.40,7256.65,-1193.65
1483737,2812.00,3018.50,145.92,3164.42,-352.42
1483738,1065.00,1125.75,67.55,1193.30,-128.30
1483739,658.00,722.25,35.64,757.89,-99.89
1483740,1151.50,1187.75,58.17,1245.92,-94.42
1483741,1698.50,1758.00,85.14,1843.14,-144.64
1483742,4471.52,5032.52,301.95,5334.47,-862.95
1483743,8421.90,9459.65,567.58,10027.23,-1605.33
1483744,1144.00,1280.25,76.82,1357.07,-213.07
1483745,1440.00,1596.50,76.80,1673.30,-233.30
1483746,1440.00,1596.50,76.80,1673.30,-233.30
1483747,180.00,180.00,0.00,180.00,0.00
1483748,22963.50,23654.25,1419.26,25073.51,-2110.01
1483749,652.00,736.25,32.88,769.13,-117.13
1483750,180.00,180.00,10.80,190.80,-10.80
1483751,120.00,120.00,7.20,127.20,-7.20
1483754,50.00,50.00,0.00,50.00,0.00
1483755,6310.00,6310.00,0.00,6310.00,0.00
1483756,2013.00,2013.00,0.00,2013.00,0.00
1483757,12750.00,12750.00,0.00,12750.00,0.00
1483758,4599.00,4599.00,0.00,4599.00,0.00
1483759,7260.00,7260.00,0.00,7260.00,0.00
1483760,1377.00,1421.25,68.58,1489.83,-112.83
1483761,1748.26,1869.76,92.30,1962.06,-213.80
1483762,2229.50,2328.00,113.49,2441.49,-211.99
1483763,2275.00,2515.50,150.93,2666.43,-391.43
1483764,1650.00,1698.25,83.40,1781.65,-131.65
1483765,8586.00,10795.50,547.56,11343.06,-2757.06
1483766,656.00,710.25,33.12,743.37,-87.37
1483767,888.00,992.25,48.24,1040.49,-152.49
1483768,253.50,360.75,13.95,374.70,-121.20
1483769,9709.00,10498.25,506.73,11004.98,-1295.98
1483770,10440.00,10794.00,514.08,11308.08,-868.08
1483771,2775.00,2979.00,178.74,3157.74,-382.74
1483772,1233.75,1272.00,62.33,1334.33,-100.58
1483773,553.00,620.25,37.22,657.47,-104.47
1483774,3705.00,3729.75,223.79,3953.54,-248.54
1483775,3191.50,3667.25,220.04,3887.29,-695.79
1483776,7425.00,8338.50,500.31,8838.81,-1413.81
1483777,1530.00,1676.50,81.60,1758.10,-228.10
1483778,15754.50,16234.25,974.06,17208.31,-1453.81
1483779,5362.50,6121.50,305.91,6427.41,-1064.91
1483780,487.50,591.75,27.81,619.56,-132.06
1483781,110.00,110.00,6.60,116.60,-6.60
1483782,570.00,570.00,34.20,604.20,-34.20
1483783,1836.00,1900.50,91.44,1991.94,-155.94
1483784,1681.50,1727.75,103.67,1831.42,-149.92
1483785,2310.00,2396.50,111.30,2507.80,-197.80
1483786,895.00,923.25,45.90,969.15,-74.15
1483787,1179.50,1398.00,64.89,1462.89,-283.39
1483788,8586.00,9283.50,456.84,9740.34,-1154.34
1483789,680.00,756.25,37.68,793.93,-113.93
1483790,1070.00,1113.25,57.30,1170.55,-100.55
1483791,786.50,882.75,42.57,925.32,-138.82
1483792,1026.00,1058.25,52.20,1110.45,-84.45
1483793,3312.00,3312.00,0.00,3312.00,0.00
1483794,1456.00,1544.25,77.76,1622.01,-166.01
1483795,6560.00,6721.00,343.68,7064.68,-504.68
1483796,1510.50,1613.75,79.23,1692.98,-182.48
1483797,652.50,705.75,33.75,739.50,-87.00
1483798,338.00,444.25,17.16,461.41,-123.41
1483799,4878.00,5487.00,329.22,5816.22,-938.22
1483800,9062.00,10458.75,627.53,11086.28,-2024.28
1483801,740.25,820.50,49.23,869.73,-129.48
1483802,540.00,647.25,29.34,676.59,-136.59
1483803,1440.00,1608.50,77.52,1686.02,-246.02
1483804,900.00,958.25,48.00,1006.25,-106.25
1483805,2106.00,2330.50,139.83,2470.33,-364.33
1483806,150.00,150.00,9.00,159.00,-9.00
1483807,1045.00,1045.00,62.70,1107.70,-62.70
1483808,65.00,65.00,3.90,68.90,-3.90
1483809,180.00,180.00,10.80,190.80,-10.80
1483810,11970.00,12796.00,627.00,13423.00,-1453.00
1483811,5274.01,5891.26,286.20,6177.46,-903.45
1483812,1224.00,1264.25,60.96,1325.21,-101.21
1483813,796.50,996.00,40.77,1036.77,-240.27
1483814,2664.00,2840.50,140.64,2981.14,-317.14
1483815,857.50,885.75,43.65,929.40,-71.90
1483816,435.00,521.25,23.58,544.83,-109.83
1483817,965.25,995.50,49.34,1044.84,-79.59
1483818,1586.50,1642.25,0.00,1642.25,-55.75
1483819,24904.50,27949.50,1343.07,29292.57,-4388.07
1483820,179.00,179.00,0.00,179.00,0.00
1483821,3531.00,3793.25,183.36,3976.61,-445.61
1483822,27540.00,28368.50,1387.20,29755.70,-2215.70
1483823,624.00,678.25,31.20,709.45,-85.45
1483824,557.38,631.13,28.37,659.50,-102.12
1483825,1501.00,1547.25,92.84,1640.09,-139.09
1483826,2612.50,2933.00,175.98,3108.98,-496.48
1483827,1260.00,1436.50,67.20,1503.70,-243.70
1483828,1440.00,1620.50,78.24,1698.74,-258.74
1483829,6840.00,7443.00,446.58,7889.58,-1049.58
1483830,1050.00,1050.00,0.00,1050.00,0.00
1483831,363.00,371.25,21.78,393.03,-30.03
1483832,389.50,397.75,23.37,421.12,-31.62
1483833,606.55,614.80,36.39,651.19,-44.64
1483834,15658.50,16937.25,0.00,16937.25,-1278.75
1483835,3990.00,4128.75,0.00,4128.75,-138.75
1483836,0.00,475.00,28.50,503.50,-503.50
1483837,966.00,998.25,59.90,1058.15,-92.15
1483838,4047.00,4527.75,271.67,4799.42,-752.42
1483839,6928.50,7434.75,446.09,7880.84,-952.34
1483840,2542.50,2799.00,167.94,2966.94,-424.44
1483841,2535.00,2716.50,162.99,2879.49,-344.49
1483842,642.00,690.25,41.42,731.67,-89.67
1483843,880.00,981.75,58.91,1040.66,-160.66
1483844,5084.00,5458.00,327.49,5785.49,-701.49
1483845,388.00,494.25,29.66,523.91,-135.91
1483846,756.00,810.25,48.62,858.87,-102.87
1483847,1355.13,1400.38,84.02,1484.40,-129.27
1483848,6322.50,6543.75,392.63,6936.38,-613.88
1483849,2177.75,2256.25,135.38,2391.63,-213.88
1483850,1369.88,1417.13,85.03,1502.16,-132.28
1483851,2915.50,3306.00,198.36,3504.36,-588.86
1483852,3381.00,3615.75,253.10,3868.85,-487.85
1483853,1358.50,1461.75,87.71,1549.46,-190.96
1483854,9250.25,9924.00,595.44,10519.44,-1269.19
1483855,4025.00,4302.75,301.20,4603.95,-578.95
1483856,3340.00,3436.50,240.56,3677.06,-337.06
1483857,1751.75,1817.25,109.04,1926.29,-174.54
1483858,15975.00,16524.00,0.00,16524.00,-549.00
1483859,432.50,525.75,31.55,557.30,-124.80
1483860,2458.50,2640.00,158.40,2798.40,-339.90
1483861,929.50,989.75,59.39,1049.14,-119.64
1483862,577.50,639.25,38.36,677.61,-100.11
1483863,4480.00,5036.75,302.21,5338.96,-858.96
1483864,1985.75,2049.25,122.96,2172.21,-186.46
1483865,1369.88,1417.13,85.03,1502.16,-132.28
1483866,1369.88,1417.13,85.03,1502.16,-132.28
