invc_code,sales_amt,tax_amt,total
1482711,2643.00,126.99,2769.99
1482712,3436.75,175.92,3612.67
1482713,916.50,45.50,962.00
1482714,466.25,18.48,484.73
1482715,456.25,27.38,483.63
1482716,3263.50,195.82,3459.32
1482717,3550.50,213.04,3763.54
1482718,480.25,28.82,509.07
1482719,2912.25,174.75,3087.00
1482720,3119.00,155.56,3274.56
1482721,561.25,20.58,581.83
1482722,4200.75,207.36,4408.11
1482723,600.00,36.00,636.00
1482724,656.70,38.91,695.61
1482725,16743.00,793.44,17536.44
1482726,5695.00,271.32,5966.32
1482727,3769.75,183.30,3953.05
1482728,1490.25,71.82,1562.07
1482729,586.75,27.51,614.26
1482730,478.25,21.50,499.75
1482731,551.25,23.58,574.83
1482732,762.25,36.24,798.49
1482733,475.25,19.02,494.27
1482734,1088.25,65.30,1153.55
1482735,1404.25,69.36,1473.61
1482736,722.25,35.64,757.89
1482737,3873.25,192.21,4065.46
1482738,401.25,14.58,415.83
1482739,10381.01,622.86,11003.87
1482740,2991.50,179.50,3171.00
1482741,520.75,31.25,552.00
1482742,1261.25,75.68,1336.93
1482743,1308.75,78.53,1387.28
1482744,8217.01,493.02,8710.03
1482745,1381.00,82.86,1463.86
1482746,7114.38,426.86,7541.24
1482747,4106.88,246.41,4353.29
1482748,1490.25,71.82,1562.07
1482749,790.25,47.42,837.67
1482750,1025.75,0.00,1025.75
1482751,5695.00,271.32,5966.32
1482752,5014.00,300.84,5314.84
1482753,5412.38,324.74,5737.12
1482754,1121.25,67.28,1188.53
1482755,5405.52,324.33,5729.85
1482756,1447.50,86.85,1534.35
1482757,6680.14,400.81,7080.95
1482758,2719.50,163.17,2882.67
1482759,3050.50,183.03,3233.53
1482760,1738.50,104.31,1842.81
1482761,2743.50,164.61,2908.11
1482762,1839.00,89.10,1928.10
1482763,8225.25,493.52,8718.77
1482764,4728.38,283.70,5012.08
1482765,624.75,37.49,662.24
1482766,4008.01,280.56,4288.57
1482767,851.25,41.58,892.83
1482768,1548.25,78.00,1626.25
1482769,3752.75,184.08,3936.83
1482770,110.00,6.60,116.60
1482771,385.00,23.10,408.10
1482772,5419.52,254.79,5674.31
1482773,369.75,25.88,395.63
1482774,594.75,0.00,594.75
1482775,1765.75,105.95,1871.70
1482776,1854.00,111.24,1965.24
1482777,11112.76,777.89,11890.65
1482778,5439.75,326.40,5766.15
1482779,317.25,9.54,326.79
1482780,3550.50,213.04,3763.54
1482781,5995.50,359.73,6355.23
1482782,5725.50,279.45,6004.95
1482783,3202.50,224.18,3426.68
1482784,5997.88,304.34,6302.22
1482785,1558.50,93.51,1652.01
1482786,5488.25,329.30,5817.55
1482787,1156.25,80.94,1237.19
1482788,2447.50,146.86,2594.36
1482789,1745.25,88.02,1833.27
1482790,913.25,45.30,958.55
1482791,13978.50,664.56,14643.06
1482792,9427.14,565.63,9992.77
1482793,8184.00,491.04,8675.04
1482794,6182.02,370.92,6552.94
1482795,3962.25,237.74,4199.99
1482796,3585.00,215.10,3800.10
1482797,6565.00,393.90,6958.90
1482798,8851.26,430.01,9281.27
1482799,5775.00,279.72,6054.72
1482800,2142.76,103.28,2246.04
1482801,5372.26,322.34,5694.60
1482802,4813.13,288.79,5101.92
1482803,608.25,0.00,608.25
1482804,790.25,55.32,845.57
1482805,2676.50,134.40,2810.90
1482806,9674.51,580.47,10254.98
1482807,3265.50,195.93,3461.43
1482808,520.75,21.75,542.50
1482809,3636.00,182.97,3818.97
1482810,8140.00,400.43,8540.43
1482811,1629.25,0.00,1629.25
1482812,5325.00,319.50,5644.50
1482813,321.75,9.81,331.56
1482814,8804.27,528.26,9332.53
1482815,1112.25,66.74,1178.99
1482816,12634.25,0.00,12634.25
1482817,3184.50,191.08,3375.58
1482818,9384.88,563.09,9947.97
1482819,1680.25,100.82,1781.07
1482820,1681.25,117.69,1798.94
1482821,2664.50,186.52,2851.02
1482822,2626.50,157.59,2784.09
1482823,1753.50,105.21,1858.71
1482824,588.75,35.33,624.08
1482825,16710.00,1002.60,17712.60
1482826,4257.38,255.44,4512.82
1482827,18007.25,1080.44,19087.69
1482828,4953.00,297.18,5250.18
1482829,3196.50,191.79,3388.29
1482830,6449.88,386.99,6836.87
1482831,1775.25,106.52,1881.77
1482832,752.25,45.14,797.39
1482833,10002.75,600.17,10602.92
1482834,1670.25,100.22,1770.47
1482835,1064.25,63.86,1128.11
1482836,458.25,0.00,458.25
1482837,584.25,35.06,619.31
1482838,1082.25,64.94,1147.19
1482839,5676.38,340.58,6016.96
1482840,8078.25,565.48,8643.73
1482841,1896.88,113.81,2010.69
1482842,1404.75,84.29,1489.04
1482843,17055.00,0.00,17055.00
1482844,2471.00,148.27,2619.27
1482845,476.25,33.34,509.59
1482846,1040.25,62.42,1102.67
1482847,12090.00,846.30,12936.30
1482848,3455.50,207.33,3662.83
1482849,2406.00,144.36,2550.36
1482850,2960.25,207.22,3167.47
1482851,1233.25,86.33,1319.58
1482852,3258.75,195.53,3454.28
1482853,7285.00,437.10,7722.10
1482854,590.25,25.92,616.17
1482855,786.25,37.68,823.93
1482856,4613.25,224.01,4837.26
1482857,12758.00,624.72,13382.72
1482858,416.25,17.28,433.53
1482859,734.25,34.56,768.81
1482860,2725.75,138.66,2864.41
1482861,1720.50,80.64,1801.14
1482862,1119.75,0.00,1119.75
1482863,1523.50,91.41,1614.91
1482864,3462.25,207.74,3669.99
1482865,5367.13,322.03,5689.16
1482866,2264.63,135.88,2400.51
1482867,469.25,18.66,487.91
1482868,1783.50,88.02,1871.52
1482869,7044.00,422.64,7466.64
1482870,360.00,21.60,381.60
1482871,240.00,14.40,254.40
1482872,3379.76,202.79,3582.55
1482873,4749.75,234.90,4984.65
1482874,794.25,38.16,832.41
1482875,3166.50,156.60,3323.10
1482876,1512.25,75.84,1588.09
1482877,507.00,20.93,527.93
1482878,5148.00,252.90,5400.90
1482879,5049.00,232.56,5281.56
1482880,1661.25,82.08,1743.33
1482881,762.25,36.24,798.49
1482882,2120.50,108.24,2228.74
1482883,488.25,19.80,508.05
1482884,335.75,0.00,335.75
1482885,13178.25,640.44,13818.69
1482886,3749.25,224.96,3974.21
1482887,1644.50,79.68,1724.18
1482888,5660.25,282.74,5942.99
1482889,764.25,45.86,810.11
1482900,319.75,9.69,329.44
1482901,594.75,26.19,620.94
1482902,3166.50,156.60,3323.10
1482903,310.75,0.00,310.75
1482904,412.25,15.24,427.49
1482905,1537.75,74.67,1612.42
1482906,522.00,21.83,543.83
1482907,1052.25,51.84,1104.09
1482908,1576.25,79.68,1655.93
1482909,1745.25,88.02,1833.27
1482910,1761.00,88.07,1849.07
1482911,1575.75,76.95,1652.70
1482912,718.88,43.13,762.01
1482913,963.75,0.00,963.75
1482914,11586.00,561.60,12147.60
1482915,883.25,43.50,926.75
1482916,4851.00,240.08,5091.08
1482917,3199.00,191.94,3390.94
1482918,4323.25,259.40,4582.65
1482919,8446.50,506.79,8953.29
1482920,2172.50,109.56,2282.06
1482921,5006.25,250.29,5256.54
1482922,1790.00,0.00,1790.00
1482923,1303.25,78.20,1381.45
1482924,1461.75,70.11,1531.86
1482925,9042.38,455.02,9497.40
1482926,1486.50,89.20,1575.70
1482927,712.25,42.74,754.99
1482928,458.25,0.00,458.25
1482929,7335.00,440.10,7775.10
1482930,7921.25,475.28,8396.53
1482931,656.75,39.41,696.16
1482932,1350.75,81.05,1431.80
1482933,5676.38,340.58,6016.96
1482934,3956.38,237.38,4193.76
1482935,5448.00,381.36,5829.36
1482936,3363.75,201.83,3565.58
1482937,4944.75,296.69,5241.44
1482938,2923.50,175.41,3098.91
1482939,6215.25,372.92,6588.17
1482940,1521.66,91.30,1612.96
1482941,99.00,0.00,99.00
1482942,1014.75,50.49,1065.24
1482943,5828.00,349.68,6177.68
1482944,3864.00,196.66,4060.66
1482945,928.25,46.20,974.45
1482946,1580.25,94.82,1675.07
1482947,488.25,19.80,508.05
1482948,804.25,38.76,843.01
1482949,4983.75,246.24,5229.99
1482950,679.75,31.29,711.04
1482951,885.00,43.61,928.61
1482952,514.88,21.40,536.28
1482953,9424.78,457.62,9882.40
1482954,549.50,23.48,572.98
1482955,1742.00,86.93,1828.93
1482956,685.00,0.00,685.00
1482957,1016.25,49.68,1065.93
1482958,9765.00,585.90,10350.90
1482959,1121.25,55.98,1177.23
1482960,650.25,29.52,679.77
1482961,599.25,26.46,625.71
1482962,1380.75,68.85,1449.60
1482963,813.25,39.30,852.55
1482964,1452.25,69.54,1521.79
1482965,3018.50,145.92,3164.42
1482966,16960.75,1017.65,17978.40
1482967,518.25,21.60,539.85
1482968,1094.25,54.36,1148.61
1482969,1288.25,62.40,1350.65
1482970,1661.25,82.08,1743.33
1482971,2126.75,110.01,2236.76
1482972,11672.50,571.29,12243.79
1482973,10977.75,538.20,11515.95
1482974,5382.75,270.18,5652.93
1482975,449.25,0.00,449.25
1482976,4440.00,226.62,4666.62
1482977,314.25,9.36,323.61
1482978,2011.50,101.70,2113.20
1482979,863.25,0.00,863.25
1482980,473.25,28.40,501.65
1482981,3561.50,213.69,3775.19
1482982,2304.00,138.24,2442.24
1482983,18177.50,0.00,18177.50
1482984,8005.25,398.64,8403.89
1482985,6168.75,370.13,6538.88
1482986,4115.25,246.92,4362.17
1482987,1751.50,105.09,1856.59
1482988,1810.50,89.64,1900.14
1482989,12276.51,736.59,13013.10
1482990,892.50,0.00,892.50
1482991,28534.50,1712.07,30246.57
1482992,2415.00,120.51,2535.51
1482993,32209.50,0.00,32209.50
1482994,455.25,0.00,455.25
1482995,1673.25,117.13,1790.38
1482996,788.25,47.30,835.55
1482997,2062.50,123.76,2186.26
1482998,1015.75,60.95,1076.70
1482999,39186.00,2351.16,41537.16
1483000,9330.75,559.85,9890.60
1483001,3497.75,209.87,3707.62
1483002,639.25,38.36,677.61
1483003,471.25,32.99,504.24
1483004,4827.00,289.62,5116.62
1483005,1082.25,64.94,1147.19
1483006,3612.25,216.75,3829.00
1483007,3373.38,202.40,3575.78
1483008,15752.25,945.14,16697.39
1483009,5657.88,339.47,5997.35
1483010,1566.25,93.98,1660.23
1483011,270.75,18.95,289.70
1483012,1339.50,80.37,1419.87
1483013,6330.75,379.85,6710.60
1483014,4499.25,314.95,4814.20
1483015,5812.51,406.88,6219.39
1483016,452.25,31.66,483.91
1483017,6334.77,380.09,6714.86
1483018,7790.25,467.42,8257.67
1483019,5699.25,341.96,6041.21
1483020,4307.50,258.45,4565.95
1483021,12121.50,727.29,12848.79
1483022,5178.00,310.68,5488.68
1483023,778.29,46.70,824.99
1483024,39.00,2.34,41.34
1483025,320.00,19.20,339.20
1483026,1702.02,102.12,1804.14
1483027,333.75,10.53,344.28
1483028,1196.25,60.48,1256.73
1483029,10625.25,637.52,11262.77
1483030,1644.50,79.68,1724.18
1483031,1780.50,84.24,1864.74
1483032,2838.00,170.28,3008.28
1483033,4870.50,292.23,5162.73
1483034,3321.75,232.52,3554.27
1483035,1648.25,98.90,1747.15
1483036,2589.00,155.34,2744.34
1483037,2404.75,144.29,2549.04
1483038,50.00,0.00,50.00
1483039,3532.26,211.94,3744.20
1483040,909.75,45.09,954.84
1483041,1148.25,57.60,1205.85
1483042,5254.50,262.49,5516.99
1483043,1586.38,0.00,1586.38
1483044,2655.50,159.33,2814.83
1483045,1660.25,84.72,1744.97
1483046,9556.75,463.74,10020.49
1483047,3037.50,147.06,3184.56
1483048,1487.25,73.44,1560.69
1483049,8592.50,418.98,9011.48
1483050,8031.53,385.32,8416.85
1483051,2571.50,154.29,2725.79
1483052,3678.25,187.71,3865.96
1483053,332.75,10.47,343.22
1483054,2491.50,149.49,2640.99
1483055,2289.00,137.34,2426.34
1483056,2933.00,175.98,3108.98
1483057,3386.75,203.21,3589.96
1483058,2878.50,172.71,3051.21
1483059,2774.00,166.44,2940.44
1483060,705.00,42.30,747.30
1483061,10035.28,481.65,10516.93
1483062,2421.75,116.82,2538.57
1483063,437.25,18.54,455.79
1483064,40.00,2.40,42.40
1483065,778.25,46.70,824.95
1483066,13690.50,821.43,14511.93
1483067,3957.75,237.47,4195.22
1483068,714.25,42.86,757.11
1483069,2889.00,173.34,3062.34
1483070,2881.00,172.86,3053.86
1483071,950.75,57.05,1007.80
1483072,3265.50,228.59,3494.09
1483073,1648.25,98.90,1747.15
1483074,6094.00,365.64,6459.64
1483075,1296.25,77.78,1374.03
1483076,3094.50,150.48,3244.98
1483077,2551.50,128.70,2680.20
1483078,464.25,16.56,480.81
1483079,425.25,25.52,450.77
1483080,1236.75,61.11,1297.86
1483081,890.25,44.82,935.07
1483082,4368.00,205.20,4573.20
1483083,14394.00,730.08,15124.08
1483084,1313.25,64.80,1378.05
1483085,1632.75,81.27,1714.02
1483086,2955.50,151.14,3106.64
1483087,676.25,40.58,716.83
1483088,1388.25,68.40,1456.65
1483089,599.25,0.00,599.25
1483090,963.25,0.00,963.25
1483091,4651.25,279.08,4930.33
1483092,7025.51,421.53,7447.04
1483093,11663.52,699.81,12363.33
1483094,1479.00,88.74,1567.74
1483095,1946.50,96.00,2042.50
1483096,1647.00,82.62,1729.62
1483097,64175.25,0.00,64175.25
1483098,3729.00,223.75,3952.75
1483099,2016.50,120.99,2137.49
1483100,7196.00,431.76,7627.76
1483101,2534.25,177.40,2711.65
1483102,758.25,45.50,803.75
1483103,5676.76,340.61,6017.37
1483104,6588.64,395.32,6983.96
1483105,11923.27,715.40,12638.67
1483106,6985.51,419.13,7404.64
1483107,3785.25,227.12,4012.37
1483108,1058.25,74.08,1132.33
1483109,2885.25,173.12,3058.37
1483110,27.50,1.65,29.15
1483111,41.25,2.48,43.73
1483112,200.00,12.00,212.00
1483113,22.00,1.32,23.32
1483114,467.50,28.05,495.55
1483115,2095.50,104.94,2200.44
1483116,3636.00,182.98,3818.98
1483117,1008.25,49.20,1057.45
1483118,760.25,36.12,796.37
1483119,488.25,19.80,508.05
1483120,1416.25,70.08,1486.33
1483121,1675.50,82.94,1758.44
1483122,1148.25,57.60,1205.85
1483123,486.25,19.68,505.93
1483124,384.00,13.55,397.55
1483125,4869.75,239.40,5109.15
1483126,813.25,39.30,852.55
1483127,3531.75,172.62,3704.37
1483128,1368.25,67.20,1435.45
1483129,3636.00,182.97,3818.97
1483130,4132.00,206.34,4338.34
1483131,672.00,30.83,702.83
1483132,348.75,11.43,360.18
1483133,476.25,19.08,495.33
1483134,1080.75,54.45,1135.20
1483135,1229.75,60.69,1290.44
1483136,811.50,40.10,851.60
1483137,332.75,10.47,343.22
1483138,1496.25,75.33,1571.58
1483139,15522.75,0.00,15522.75
1483140,3094.50,150.48,3244.98
1483141,5315.50,318.93,5634.43
1483142,2921.00,175.26,3096.26
1483143,5072.75,304.37,5377.12
1483144,8208.13,409.48,8617.61
1483145,4963.75,297.83,5261.58
1483146,638.25,28.80,667.05
1483147,2314.50,116.28,2430.78
1483148,2298.00,113.49,2411.49
1483149,5362.00,254.04,5616.04
1483150,5297.25,317.84,5615.09
1483151,424.25,25.46,449.71
1483152,5916.00,354.96,6270.96
1483153,6845.25,410.72,7255.97
1483154,1064.25,63.86,1128.11
1483155,5597.50,335.85,5933.35
1483156,698.25,41.90,740.15
1483157,579.50,40.57,620.07
1483158,8002.88,480.17,8483.05
1483159,1678.25,100.70,1778.95
1483160,4143.00,248.58,4391.58
1483161,10262.13,615.73,10877.86
1483162,2021.25,121.28,2142.53
1483163,10144.89,710.14,10855.03
1483164,4314.00,301.98,4615.98
1483165,559.00,33.54,592.54
1483166,3227.25,193.64,3420.89
1483167,2581.50,154.89,2736.39
1483168,1414.25,84.86,1499.11
1483169,4769.00,286.14,5055.14
1483170,1775.25,124.27,1899.52
1483171,2295.00,137.70,2432.70
1483172,4252.50,255.15,4507.65
1483173,52.00,3.12,55.12
1483174,55.00,3.30,58.30
1483175,120.00,7.20,127.20
1483176,2090.00,125.40,2215.40
1483177,784.50,35.78,820.28
1483178,1860.75,94.05,1954.80
1483179,488.25,19.80,508.05
1483180,313.88,11.14,325.02
1483181,457.25,17.94,475.19
1483182,475.25,19.02,494.27
1483183,3360.50,166.44,3526.94
1483184,11802.75,600.30,12403.05
1483185,1745.25,88.02,1833.27
1483186,4869.75,239.40,5109.15
1483187,818.25,39.60,857.85
1483188,1423.75,67.83,1491.58
1483189,1626.50,78.60,1705.10
1483190,2057.50,123.45,2180.95
1483191,885.75,43.65,929.40
1483192,1509.00,90.55,1599.55
1483193,1632.75,81.27,1714.02
1483194,3303.50,163.02,3466.52
1483195,918.25,45.60,963.85
1483196,7265.25,356.04,7621.29
1483197,28352.75,1348.77,29701.52
1483198,8262.50,409.98,8672.48
1483199,2571.50,128.10,2699.60
1483200,3550.50,213.04,3763.54
1483201,3550.75,172.86,3723.61
1483202,880.75,43.35,924.10
1483203,573.75,26.73,600.48
1483204,1528.25,74.10,1602.35
1483205,463.25,18.30,481.55
1483206,10714.14,642.85,11356.99
1483207,3094.50,150.48,3244.98
1483208,3872.25,182.25,4054.50
1483209,5611.75,336.71,5948.46
1483210,1518.75,91.13,1609.88
1483211,1280.25,76.82,1357.07
1483212,11817.00,709.02,12526.02
1483213,1488.25,89.30,1577.55
1483214,1650.50,78.24,1728.74
1483215,3493.50,174.42,3667.92
1483216,804.75,48.29,853.04
1483217,806.25,48.38,854.63
1483218,3484.00,209.04,3693.04
1483219,590.25,35.42,625.67
1483220,612.75,42.89,655.64
1483221,9341.50,560.49,9901.99
1483222,18151.50,1089.09,19240.59
1483223,608.25,0.00,608.25
1483224,2678.50,187.50,2866.00
1483225,4260.75,255.65,4516.40
1483226,15578.25,934.70,16512.95
1483227,1580.50,110.64,1691.14
1483228,1226.25,85.84,1312.09
1483229,5370.50,322.23,5692.73
1483230,2641.50,158.50,2800.00
1483231,4070.76,244.25,4315.01
1483232,8476.88,508.61,8985.49
1483233,4623.25,323.63,4946.88
1483234,2365.50,165.58,2531.08
1483235,1260.75,75.65,1336.40
1483236,3396.50,203.79,3600.29
1483237,1585.25,110.97,1696.22
1483238,2640.50,158.43,2798.93
1483239,1699.50,101.97,1801.47
1483240,606.75,36.41,643.16
1483241,878.25,52.70,930.95
1483242,5884.50,353.07,6237.57
1483243,883.25,61.83,945.08
1483244,3148.50,188.91,3337.41
1483245,5695.50,341.73,6037.23
1483246,6751.25,405.08,7156.33
1483247,1770.50,88.64,1859.14
1483248,935.75,46.65,982.40
1483249,3631.25,182.69,3813.94
1483250,1130.25,67.82,1198.07
1483251,2405.00,144.30,2549.30
1483252,2920.50,144.54,3065.04
1483253,3984.75,198.00,4182.75
1483254,1016.25,49.68,1065.93
1483255,2571.50,154.29,2725.79
1483256,2571.50,154.29,2725.79
1483257,3973.50,196.43,4169.93
1483258,1334.25,0.00,1334.25
1483259,17572.50,809.37,18381.87
1483260,5923.00,285.00,6208.00
1483261,696.75,33.21,729.96
1483262,926.75,55.61,982.36
1483263,734.25,34.56,768.81
1483264,914.25,43.56,957.81
1483265,910.75,45.15,955.90
1483266,1455.75,73.35,1529.10
1483267,6591.75,317.43,6909.18
1483268,3185.25,150.93,3336.18
1483269,596.25,26.28,622.53
1483270,2829.00,141.75,2970.75
1483271,656.25,39.38,695.63
1483272,1803.75,108.23,1911.98
1483273,426.75,0.00,426.75
1483274,476.25,19.08,495.33
1483275,257.25,7.74,264.99
1483276,615.75,36.95,652.70
1483277,1560.75,76.95,1637.70
1483278,4106.88,246.41,4353.29
1483279,9050.13,543.01,9593.14
1483280,1381.00,82.86,1463.86
1483281,3054.00,183.24,3237.24
1483282,2608.50,126.72,2735.22
1483283,960.75,48.15,1008.90
1483284,1518.75,91.13,1609.88
1483285,1121.25,67.28,1188.53
1483286,2074.50,124.47,2198.97
1483287,4222.25,210.46,4432.71
1483288,1756.50,86.40,1842.90
1483289,3493.50,174.42,3667.92
1483290,736.25,34.68,770.93
1483291,1875.00,0.00,1875.00
1483292,1700.50,0.00,1700.50
1483293,804.75,36.99,841.74
1483294,4039.75,191.40,4231.15
1483295,800.00,48.00,848.00
1483296,169.00,10.14,179.14
1483297,82.50,4.95,87.45
1483298,17912.25,0.00,17912.25
1483299,3061.50,183.69,3245.19
1483300,45063.01,0.00,45063.01
1483301,2956.50,177.40,3133.90
1483302,1233.25,74.00,1307.25
1483303,746.25,44.78,791.03
1483304,9833.25,590.00,10423.25
1483305,9655.25,579.32,10234.57
1483306,1022.25,61.34,1083.59
1483307,2148.00,128.88,2276.88
1483308,3192.75,191.57,3384.32
1483309,10913.75,0.00,10913.75
1483310,995.50,59.73,1055.23
1483311,6337.00,380.22,6717.22
1483312,1400.25,84.02,1484.27
1483313,1780.00,124.60,1904.60
1483314,5283.00,317.00,5600.00
1483315,578.25,34.70,612.95
1483316,8213.76,492.83,8706.59
1483317,2725.88,163.55,2889.43
1483318,4295.00,257.70,4552.70
1483319,1212.25,72.74,1284.99
1483320,4056.75,243.41,4300.16
1483321,5999.00,419.93,6418.93
1483322,2388.00,143.28,2531.28
1483323,2082.00,124.92,2206.92
1483324,1334.25,0.00,1334.25
1483325,1341.75,67.41,1409.16
1483326,1334.25,68.76,1403.01
1483327,1336.25,80.18,1416.43
1483328,11352.76,681.17,12033.93
1483329,3363.75,201.83,3565.58
1483330,804.75,48.29,853.04
1483331,6656.00,399.36,7055.36
1483332,798.00,47.88,845.88
1483333,2857.00,171.42,3028.42
1483334,5069.25,304.16,5373.41
1483335,2656.50,159.39,2815.89
1483336,6796.64,475.76,7272.40
1483337,1016.25,60.98,1077.23
1483338,220.00,13.20,233.20
1483366,99.00,0.00,99.00
1483367,316.50,0.00,316.50
1483368,484.50,0.00,484.50
1483484,1331.00,79.86,1410.86
1483545,612.50,0.00,612.50
1483546,1437.50,0.00,1437.50
1483547,3300.00,0.00,3300.00
1483548,475.00,0.00,475.00
