day,plant_code,delv_qty_uom,delv_qty,revenue,ticket_line_count
2025-02-13,4,40003,187.50,28343.14,24
2025-02-13,42,80001,3.00,180.00,1
2025-02-13,43,80001,2.00,120.00,1
2025-02-13,6,40003,466.50,73899.18,60
2025-02-14,1,40003,46.50,7629.76,7
2025-02-14,3,40003,75.50,12033.50,10
2025-02-14,4,40003,532.25,81664.76,64
2025-02-14,40,60003,42.00,680.00,2
2025-02-14,44,80002,0.00,0.00,10
2025-02-14,44,90005,1.00,50.00,1
2025-02-14,6,40003,412.50,62166.75,49
2025-02-17,1,40003,21.50,3517.50,3
2025-02-17,3,40003,130.00,21301.00,18
2025-02-17,4,40003,464.00,69446.17,54
2025-02-17,40,60003,12.00,180.00,1
2025-02-17,42,80001,4.00,150.00,2
2025-02-17,43,60003,5.00,65.00,1
2025-02-17,44,80002,11.00,1045.00,1
2025-02-17,6,40003,172.50,27458.25,24
2025-02-18,1,40003,140.50,21928.51,18
2025-02-18,3,40003,204.00,28927.75,25
2025-02-18,4,40003,409.50,62328.89,53
2025-02-18,40,60003,36.33,996.05,2
2025-02-18,43,60003,22.00,363.00,1
2025-02-18,6,40003,298.00,48227.13,36
2025-02-18,6,80001,4.00,16.00,1
2025-02-19,1,40003,121.50,18704.25,14
2025-02-19,3,40003,51.00,7430.25,6
2025-02-19,4,40003,154.25,23334.51,20
2025-02-19,40,60003,24.00,922.50,2
2025-02-19,6,40003,186.25,28845.63,24
2025-02-20,1,40003,48.50,7761.26,6
2025-02-20,3,40003,64.00,9736.26,11
2025-02-20,4,40003,101.50,15949.50,14
2025-02-20,44,80001,74.00,4080.00,2
2025-02-20,6,40003,124.50,18433.77,17
2025-02-21,1,40003,154.00,23111.50,17
2025-02-21,3,40003,34.50,5469.75,6
2025-02-21,4,40003,810.00,118987.15,93
2025-02-21,40,60003,20.00,800.00,1
2025-02-21,40,80001,20.00,600.00,1
2025-02-21,43,60003,66.00,1540.00,3
2025-02-21,43,80002,3.00,605.00,3
2025-02-21,6,40003,273.75,41775.38,34
2025-02-24,1,40003,131.25,21628.38,21
2025-02-24,1,80001,1.00,-38.00,1
2025-02-24,3,40003,322.75,51391.26,38
2025-02-24,3,80001,3.50,1750.00,1
2025-02-24,4,40003,727.25,111742.56,87
2025-02-24,4,80001,1.00,80.00,1
2025-02-24,40,60003,71.48,2271.59,9
2025-02-24,40,80002,2.00,560.00,2
2025-02-24,43,60003,53.50,3805.00,6
2025-02-24,44,80001,32.00,1920.00,1
2025-02-24,6,40003,470.50,75262.79,59
2025-02-25,1,40003,197.00,33776.38,29
2025-02-25,3,40003,183.50,29836.50,23
2025-02-25,4,40003,687.25,105688.53,85
2025-02-25,4,80001,5.00,2080.00,2
2025-02-25,40,60003,52.00,1140.00,4
2025-02-25,44,80001,10.00,540.00,3
2025-02-25,6,40003,463.75,72980.50,60
2025-02-26,1,40003,300.75,48518.02,39
2025-02-26,1,80001,1.00,80.00,1
2025-02-26,1,80004,3.00,382.50,1
2025-02-26,3,40003,201.50,33925.75,26
2025-02-26,4,40003,1008.50,156962.57,122
2025-02-26,40,60003,74.00,2128.50,5
2025-02-26,44,80001,15.00,570.00,3
2025-02-26,6,40003,464.50,73607.55,57
2025-02-26,6,80001,1.00,80.00,1
2025-02-27,1,40003,59.50,9965.26,13
2025-02-27,3,40003,121.75,19074.63,17
2025-02-27,4,40003,900.00,141022.78,109
2025-02-27,40,60003,20.00,325.00,2
2025-02-27,44,80001,23.00,1380.00,6
2025-02-27,6,40003,364.75,55004.51,48
2025-02-27,6,80001,2.00,8.00,1
2025-02-28,1,40003,81.50,13847.00,12
2025-02-28,1,80001,1.00,80.00,1
2025-02-28,1,80004,26.50,662.50,1
2025-02-28,3,40003,214.50,32000.00,29
2025-02-28,3,80004,302.50,7562.50,1
2025-02-28,4,40003,1000.75,153548.55,115
2025-02-28,4,80001,1.00,80.00,1
2025-02-28,4,80004,9.00,81.00,1
2025-02-28,40,60003,80.00,5378.00,11
2025-02-28,40,90005,4.00,264.00,2
2025-02-28,42,90005,6.00,417.00,1
2025-02-28,43,60003,22.00,363.00,1
2025-02-28,43,80001,12.00,720.00,1
2025-02-28,44,80001,21.00,1260.00,3
2025-02-28,44,90005,158.00,9843.00,2
2025-02-28,6,40003,238.25,37279.88,32
2025-02-28,6,80004,81.00,2025.00,1
