day,plant_code,delv_qty,concrete_delv_qty,revenue,ticket_line_count
2025-02-27,3,121.75,121.75,19074.63,17
2025-02-27,4,900.00,900.00,141022.78,109
2025-02-27,40,20.00,0,325.00,2
2025-02-27,44,23.00,0,1380.00,6
2025-02-27,6,366.75,364.75,55012.51,49
2025-02-28,1,109.00,81.50,14589.50,14
2025-02-28,3,517.00,214.50,39562.50,30
2025-02-28,4,1010.75,1000.75,153709.55,117
2025-02-28,40,84.00,0,5642.00,13
2025-02-28,42,6.00,0,417.00,1
2025-02-28,43,34.00,0,1083.00,2
2025-02-28,44,179.00,0,11103.00,5
2025-02-28,6,319.25,238.25,39304.88,33
