day,plant_code,prod_line_code,delv_qty_uom,loads,concrete_delv_qty,revenue,ticket_line_count
2025-02-24,4,CC,40003,87,727.25,111742.56,87
2025-02-24,4,CC,80001,1,0,80.00,1
2025-02-24,40,CC,60003,9,0,2271.59,9
2025-02-24,40,CC,80002,2,0,560.00,2
2025-02-24,43,CC,60003,3,0,3805.00,6
2025-02-24,44,CC,80001,1,0,1920.00,1
2025-02-24,6,CC,40003,59,470.50,75262.79,59
2025-02-25,1,CC,40003,29,197.00,33776.38,29
2025-02-25,3,CC,40003,23,183.50,29836.50,23
2025-02-25,4,CC,40003,85,687.25,105688.53,85
2025-02-25,4,CC,80001,2,0,2080.00,2
2025-02-25,40,CC,60003,4,0,1140.00,4
2025-02-25,44,CC,80001,2,0,540.00,3
2025-02-25,6,CC,40003,60,463.75,72980.50,60
2025-02-26,1,CC,40003,39,300.75,48518.02,39
2025-02-26,1,CC,80001,1,0,80.00,1
2025-02-26,1,CC,80004,1,0,382.50,1
2025-02-26,3,CC,40003,26,201.50,33925.75,26
2025-02-26,4,CC,40003,122,1008.50,156962.57,122
2025-02-26,40,CC,60003,5,0,2128.50,5
2025-02-26,44,CC,80001,3,0,570.00,3
2025-02-26,6,CC,40003,57,464.50,73607.55,57
2025-02-26,6,CC,80001,1,0,80.00,1
2025-02-27,1,CC,40003,13,59.50,9965.26,13
2025-02-27,3,CC,40003,17,121.75,19074.63,17
2025-02-27,4,CC,40003,109,900.00,141022.78,109
2025-02-27,40,CC,60003,2,0,325.00,2
2025-02-27,44,CC,80001,6,0,1380.00,6
2025-02-27,6,CC,40003,48,364.75,55004.51,48
2025-02-27,6,CC,80001,1,0,8.00,1
2025-02-28,1,CC,40003,12,81.50,13847.00,12
2025-02-28,1,CC,80001,1,0,80.00,1
2025-02-28,1,CC,80004,1,0,662.50,1
2025-02-28,3,CC,40003,29,214.50,32000.00,29
2025-02-28,3,CC,80004,1,0,7562.50,1
2025-02-28,4,CC,40003,115,1000.75,153548.55,115
2025-02-28,4,CC,80001,1,0,80.00,1
2025-02-28,4,CC,80004,1,0,81.00,1
2025-02-28,40,CC,60003,5,0,5378.00,11
2025-02-28,40,CC,90005,1,0,264.00,2
2025-02-28,42,CC,90005,1,0,417.00,1
2025-02-28,43,CC,60003,1,0,363.00,1
2025-02-28,43,CC,80001,1,0,720.00,1
2025-02-28,44,CC,80001,3,0,1260.00,3
2025-02-28,44,CC,90005,1,0,9843.00,2
2025-02-28,6,CC,40003,32,238.25,37279.88,32
2025-02-28,6,CC,80004,1,0,2025.00,1
